jtool2 -k /private/preboot/5B9292BD97BF2C2D35B301AAEC8F324899ABAEA67E1696579A7DB4E4C5D80EF00CB6F44278922789D2D06307CFC81EA4/System/Library/Caches/com.apple.kernelcaches/kernelcache
0xfffffff00905def8: com.apple.driver.FairPlayIOKit (1.0.0d1)
0xfffffff00916a318: com.apple.IOTextEncryptionFamily (1.0.0)
0xfffffff00916b870: com.apple.AppleAstrisGpioProbe (1.0.0d1)
0xfffffff00916f5a8: com.apple.driver.AppleConvergedIPCOLYBTControl (1.0.0d1)
0xfffffff0091b2348: com.apple.driver.LSKDIOKit (1.0.0d1)
0xfffffff00924d228: com.apple.driver.ApplePMPFirmware (1.0.0d1)
0xfffffff00924e178: com.apple.driver.usb.AppleUSBHub (0.0.0)
0xfffffff00927d9d8: com.apple.driver.usb.AppleUSBHostiOSDevice (0.0.0)
0xfffffff00927e8d8: com.apple.driver.AppleUSBMike (1.0.0d1)
0xfffffff0092870b8: com.apple.driver.AppleMobileApNonce (1.0.0d1)
0xfffffff0092898a8: com.apple.driver.AppleSPMI (1.0.0)
0xfffffff009291150: com.apple.driver.AppleEffaceableStorage (1.0.0d1)
0xfffffff009295c08: com.apple.driver.AppleSEPKeyStore (2)
0xfffffff0092c4730: com.apple.driver.IOImageLoader (1.0.0d1)
0xfffffff0092d3ee0: com.apple.driver.BCMWLANFirmware4378_Hashstore (1.0.0d1)
0xfffffff0092d43b8: com.apple.driver.DiskImages.FileBackingStore (621)
0xfffffff0092d55d0: com.apple.driver.ApplePMP (1.0.0d1)
0xfffffff0092e0d58: com.apple.driver.AppleS5L8960XNCO (1.0.0d1)
0xfffffff0092e1a08: com.apple.iokit.IOStreamFamily (1.0.0d1)
0xfffffff0092e49a0: com.apple.driver.AppleAOPAD5860 (500.86)
0xfffffff0092e8ff8: com.apple.AppleT8030 (1.0.0d1)
0xfffffff0092f1358: com.apple.driver.AppleHIDKeyboard (228)
0xfffffff0092f68f8: com.apple.driver.AppleTopCaseHIDEventDriver (5000.13)
0xfffffff0092fefa0: com.apple.driver.AppleChestnutDisplayPMU (1.0.0d1)
0xfffffff0092ffc00: com.apple.EncryptedBlockStorage (1.1.0)
0xfffffff0093030b0: com.apple.kec.pthread (1.0.0d1)
0xfffffff009308de8: com.apple.driver.AppleStockholmControl (1.0)
0xfffffff0093176b8: com.apple.driver.AppleSamsungSerial (1.0.0d1)
0xfffffff0093192e0: com.apple.driver.AppleBSDKextStarter (3)
0xfffffff009319768: com.apple.driver.usb.cdc.ecm (5.0.0)
0xfffffff00931d250: com.apple.filesystems.apfs (1.0)
0xfffffff0094233d8: com.apple.kext.Match (1.0.0d1)
0xfffffff009424ff0: com.apple.driver.AppleEffaceableBlockDevice (1.0.0d1)
0xfffffff009425d58: com.apple.driver.AppleCS35L27Amp (500.86)
0xfffffff00943c410: com.apple.driver.usb.AppleUSBXHCI (0.0.0)
0xfffffff00949dbc8: com.apple.driver.AppleEmbeddedUSBHost (1.0.0d1)
0xfffffff0094a0118: com.apple.driver.usb.AppleSynopsysUSBXHCI (1.0.0d1)
0xfffffff0094bc928: com.apple.AppleS8000AES (1.0.0)
0xfffffff0094bfa38: com.apple.driver.AppleUSBDeviceAudioController (412.8)
0xfffffff0094c22d8: com.apple.driver.usb.ethernet.asix (5.0.0)
0xfffffff0094d3f20: com.apple.driver.AppleOLYHAL (1.0.0)
0xfffffff0094dc6c0: com.apple.driver.AppleCredentialManager (1.0)
0xfffffff0094f96f8: com.apple.driver.AppleMCA2-T8030 (600.94)
0xfffffff00951c358: com.apple.driver.AppleUSBXDCI (1.0)
0xfffffff009543ad8: com.apple.driver.AppleT8011USBXDCI (1.0)
0xfffffff009547220: com.apple.driver.AppleUSBXDCIARM (1.0)
0xfffffff009558560: com.apple.driver.AppleT8027USBXDCI (1.0)
0xfffffff009559cf8: com.apple.driver.AppleAVE (1.0.0)
0xfffffff0095d7d08: com.apple.driver.AppleInterruptController (1.0.0d1)
0xfffffff0095dade0: com.apple.iokit.IOGPUFamily (1.0.0d1)
0xfffffff0095fcd10: com.apple.AGXG12P (1.0.0d1)
0xfffffff0096704a0: com.apple.drivers.AppleSPUSphere (1.0.0d1)
0xfffffff009671a40: com.apple.driver.AppleAVD (1.0.0d1)
0xfffffff0096fab80: com.apple.security.sandbox (1.0)
0xfffffff009722a30: com.apple.driver.AppleTemperatureSensor (1.0.0d1)
0xfffffff00972a310: com.apple.iokit.AppleSEPGenericTransfer (1.0.0d1)
0xfffffff00972dba0: com.apple.iokit.IOBiometricFamily (1.0.0)
0xfffffff009739130: com.apple.driver.AppleH10CameraInterface (17.33.0)
0xfffffff00973adf8: com.apple.ApplePearlSEPDriver (1.0.0d1)
0xfffffff009768be8: com.apple.driver.AppleNANDConfigAccess (1.0.0d1)
0xfffffff009768e80: com.apple.iokit.IONVMeFamily (2.1.0)
