0xfffffff008e634f0: com.apple.driver.AppleEmbeddedGPS (1.0.0d1)
0xfffffff008e66628: com.apple.driver.AppleSMCWirelessCharger (1.0.0)
0xfffffff008e71990: com.apple.nke.ppp (1.5)
0xfffffff008e789b8: com.apple.nke.lttp (1.5)
0xfffffff008e7c9f0: com.apple.driver.AppleSynopsysOTGDevice (1.0)
0xfffffff008ea1d18: com.apple.driver.AppleAOPAudio (16.2)
0xfffffff008ecce40: com.apple.driver.AppleAOPHaptics (442.27)
0xfffffff008ecf980: com.apple.drivers.AppleSPURose (1.0.0d1)
0xfffffff008ed92d0: com.apple.driver.AppleUSBTopCaseDriver (4050.1)
0xfffffff008ed9790: com.apple.AUC (1.0.0d1)
0xfffffff008edd340: com.apple.driver.AppleALSColorSensor (1.0.0d1)
0xfffffff008eedc48: com.apple.driver.FairPlayIOKit (MODULE_VERSION)
0xfffffff008f58448: com.apple.IOTextEncryptionFamily (1.0.0)
0xfffffff008f59a40: com.apple.AppleAstrisGpioProbe (1.0.0d1)
0xfffffff008f5d740: com.apple.driver.AppleConvergedIPCOLYBTControl (1.0.0d1)
0xfffffff008f9d7f8: com.apple.driver.LSKDIOKit (1.0.0d1)
0xfffffff00903af98: com.apple.driver.ApplePMPFirmware (1.0.0d1)
0xfffffff00903bd50: com.apple.driver.usb.AppleUSBHostiOSDevice (0.0.0)
0xfffffff00903cd68: com.apple.driver.AppleUSBMike (1.0.0d1)
0xfffffff009045db0: com.apple.driver.AppleMobileApNonce (1.0.0d1)
0xfffffff009048880: com.apple.driver.AppleSPMI (1.0.0)
0xfffffff009050c18: com.apple.driver.AppleEffaceableStorage (1.0.0d1)
0xfffffff009055568: com.apple.driver.AppleSEPKeyStore (2)
0xfffffff009082db8: com.apple.driver.IOImageLoader (1.0.0d1)
0xfffffff009093340: com.apple.driver.BCMWLANFirmware4378_Hashstore (1.0.0d1)
0xfffffff009093800: com.apple.driver.DiskImages.FileBackingStore (595.140.1)
0xfffffff009094ab0: com.apple.driver.ApplePMP (1.0.0d1)
0xfffffff00909de88: com.apple.driver.AppleS5L8960XNCO (1.0.0d1)
0xfffffff00909eb10: com.apple.iokit.IOStreamFamily (1.0.0d1)
0xfffffff0090a1f68: com.apple.driver.AppleAOPAD5860 (442.27)
0xfffffff0090a6830: com.apple.AppleT8030 (1.0.0d1)
0xfffffff0090ae858: com.apple.driver.AppleHIDKeyboard (224)
0xfffffff0090b3820: com.apple.driver.AppleTopCaseHIDEventDriver (4050.1)
0xfffffff0090bb000: com.apple.driver.AppleChestnutDisplayPMU (1.0.0d1)
0xfffffff0090bbc48: com.apple.EncryptedBlockStorage (1.1.0)
0xfffffff0090bf2c0: com.apple.kec.pthread (1.0.0d1)
0xfffffff0090c4dc8: com.apple.driver.AppleStockholmControl (1.0)
0xfffffff0090d2400: com.apple.driver.AppleSamsungSerial (1.0.0d1)
0xfffffff0090d41b8: com.apple.driver.AppleBSDKextStarter (3)
0xfffffff0090d4668: com.apple.driver.usb.cdc.ecm (5.0.0)
0xfffffff0090d84d0: com.apple.filesystems.apfs (1.0)
0xfffffff0091cad28: com.apple.kext.Match (1.0.0d1)
0xfffffff0091cc890: com.apple.driver.AppleEffaceableBlockDevice (1.0.0d1)
0xfffffff0091cd5c0: com.apple.driver.AppleCS35L27Amp (442.27)
0xfffffff0091e3188: com.apple.AppleS8000AES (1.0.0)
0xfffffff0091e6370: com.apple.driver.usb.ethernet.asix (5.0.0)
0xfffffff0091f8f50: com.apple.driver.AppleCredentialManager (1.0)
0xfffffff009213680: com.apple.driver.AppleMCA2-T8030 (540.10)
0xfffffff009236a90: com.apple.driver.AppleUSBXDCI (1.0)
0xfffffff00925d340: com.apple.driver.AppleT8011USBXDCI (1.0)
0xfffffff009260c70: com.apple.driver.AppleUSBXDCIARM (1.0)
0xfffffff00926f110: com.apple.driver.AppleT8027USBXDCI (1.0)
0xfffffff009270910: com.apple.watchdog (1.0.0d1)
0xfffffff009272250: com.apple.driver.AppleAVE (1.0.0)
0xfffffff0092daa98: com.apple.driver.AppleInterruptController (1.0.0d1)
0xfffffff0092ddd68: com.apple.iokit.IOGPUFamily (1.0.0d1)
0xfffffff009300830: com.apple.AGXG12P (1.0.0d1)
0xfffffff00936c488: com.apple.drivers.AppleSPUSphere (1.0.0d1)
0xfffffff00936daf8: com.apple.driver.AppleAVD (1.0.0d1)
0xfffffff0093d9c98: com.apple.security.sandbox (1.0)
0xfffffff0093fc310: com.apple.driver.AppleTemperatureSensor (1.0.0d1)
0xfffffff009404168: com.apple.iokit.AppleSEPGenericTransfer (1.0.0d1)
0xfffffff0094064d8: com.apple.iokit.IOBiometricFamily (1.0.0)
0xfffffff009411fa8: com.apple.driver.AppleH10CameraInterface (16.25.0)
0xfffffff009413af8: com.apple.ApplePearlSEPDriver (1.0.0d1)
0xfffffff009440760: com.apple.driver.AppleNANDConfigAccess (1.0.0d1)
0xfffffff0094409e0: com.apple.iokit.IONVMeFamily (2.1.0)
0xfffffff00948d598: com.apple.driver.AppleH10CameraInterface (16.25.0)
0xfffffff0094e5ca0: com.apple.driver.AppleEmbeddedAudioResourceManager (442.27)
0xfffffff0094e82e0: com.apple.driver.AppleBasebandI19 (1.0.0d1)
0xfffffff0094f4e48: com.apple.driver.AppleActuatorDriver (4140.7)
0xfffffff0094fce00: com.apple.driver.IOAudioCodecs (1.0.0)
0xfffffff00953e488: com.apple.driver.DiskImages.ReadWriteDiskImage (595.140.1)
0xfffffff00953e900: com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (125)
0xfffffff009549ce0: com.apple.driver.AppleBCMWLANCore (1.0.0d1)
0xfffffff0096fde58: com.apple.driver.AppleBCMWLANBusInterfacePCIe (1.0.0d1)
0xfffffff00975a420: com.apple.driver.AppleUSBDeviceNCM (5.0.0)
0xfffffff009760a78: com.apple.driver.AppleS5L8960XUSB (1.0.0d1)
0xfffffff009763028: com.apple.driver.AppleT8011USB (1.0.0d1)
0xfffffff009765fa8: com.apple.driver.AppleT8027USB (1.0.0d1)
0xfffffff00976a970: com.apple.driver.AppleFAN53740 (1.0.0d1)
0xfffffff00976bc40: com.apple.file-systems.hfs.kext (1.0.0)
0xfffffff0097bcb00: com.apple.driver.AppleM68Buttons (1.0.0d2)
0xfffffff0097c5ad8: com.apple.driver.AppleDialogPMU (1.0.0)
0xfffffff0097c7808: com.apple.driver.AppleSPMIPMU (1.0.0)
0xfffffff0097d1220: com.apple.driver.AppleUSBDeviceMux (1.0.0d1)
0xfffffff0097d6778: com.apple.driver.AOPTouchKext (306)
0xfffffff0097d8518: com.apple.driver.AppleS5L8960XWatchDogTimer (1.0.0d1)
0xfffffff0097dadd8: com.apple.iokit.IOAccessoryPortUSB (1.0.0d1)
0xfffffff0097dd1f8: com.apple.driver.ApplePinotLCD (1.0.0)
0xfffffff0097de398: com.apple.driver.BTM (1.0.0d1)
0xfffffff0097e32a0: com.apple.filesystems.tmpfs (1.0.0d1)
0xfffffff0097ec920: com.apple.driver.AppleT8020DART (1.0.0d1)
0xfffffff0097f3ca0: com.apple.driver.AppleBluetoothModule (1.0.0)
0xfffffff0097faa58: com.apple.driver.AppleUSBEthernetHost (8.1.1)
0xfffffff0097fe890: com.apple.driver.AppleIDV (1.0.0d1)
0xfffffff0097feff8: com.apple.AGXFirmwareKextRTBuddy64 (1.0.0d1)
0xfffffff009800fa8: com.apple.AGXFirmwareKextG12PRTBuddy (1.0.0d1)
0xfffffff0098015e0: com.apple.driver.AppleIDAMInterface (1.0)
0xfffffff009802170: com.apple.driver.AppleCS42L77Audio (442.27)
0xfffffff009842588: com.apple.driver.AppleDiagnosticDataAccessReadOnly (1.0.0d1)
0xfffffff0098430c0: com.apple.iokit.IOMobileGraphicsFamily (1.0.0d1)
0xfffffff009875800: com.apple.driver.AppleMobileDispH12P (1.0.0d1)
0xfffffff00994d5f0: com.apple.driver.AppleGenericMultitouch (14)
0xfffffff009953460: com.apple.driver.AppleDiskImages2 (1.0.0d1)
