# zprint
                            elem         cur         max        cur         max         cur  alloc  alloc
zone name                   size        size        size      #elts       #elts       inuse   size  count
-------------------------------------------------------------------------------------------------------------
kalloc.type6.64               64        192K        240K       3072        3840        2901    16K    256  C
kalloc.type7.64               64         16K         16K        256         256          64    16K    256  C
kalloc.type8.64               64         16K         16K        256         256         168    16K    256  C
kalloc.type0.80               80         96K         96K       1228        1228        1109    16K    204  C
kalloc.type1.80               80         16K         16K        204         204         100    16K    204  C
kalloc.type2.80               80         32K         32K        409         409         260    16K    204  C
kalloc.type3.80               80         32K         32K        409         409         226    16K    204  C
kalloc.type4.80               80         16K         16K        204         204          94    16K    204  C
kalloc.type5.80               80         16K         16K        204         204          32    16K    204  C
kalloc.type6.80               80        176K        176K       2252        2252        2134    16K    204  C
kalloc.type7.80               80         16K         16K        204         204          57    16K    204  C
kalloc.type8.80               80         16K         16K        204         204          55    16K    204  C
kalloc.type9.80               80         64K         64K        819         819         732    16K    204  C
kalloc.type0.96               96         16K         16K        170         170         114    16K    170  C
kalloc.type1.96               96        176K        176K       1877        1877        1685    16K    170  C
kalloc.type2.96               96         16K         16K        170         170           8    16K    170  C
kalloc.type3.96               96         80K         80K        853         853         717    16K    170  C
kalloc.type4.96               96         16K        416K        170        4437           4    16K    170  C
kalloc.type5.96               96         16K         16K        170         170         101    16K    170  C
kalloc.type6.96               96         32K         32K        341         341         291    16K    170  C
kalloc.type7.96               96         48K         48K        512         512         410    16K    170  C
kalloc.type0.128             128         16K         16K        128         128           6    16K    128  C
kalloc.type1.128             128        112K        112K        896         896         755    16K    128  C
kalloc.type2.128             128        256K        256K       2048        2048        1932    16K    128  C
kalloc.type3.128             128         80K         80K        640         640         488    16K    128  C
kalloc.type4.128             128         16K         16K        128         128          91    16K    128  C
kalloc.type5.128             128         96K         96K        768         768         760    16K    128  C
kalloc.type6.128             128         16K         16K        128         128          29    16K    128  C
kalloc.type7.128             128        448K        464K       3584        3712        3496    16K    128  C
kalloc.type8.128             128         48K         48K        384         384         357    16K    128  C
kalloc.type9.128             128         64K         64K        512         512         379    16K    128  C
kalloc.type10.128            128         16K         16K        128         128           2    16K    128  C
kalloc.type11.128            128         16K         16K        128         128          88    16K    128  C
kalloc.type12.128            128         32K         32K        256         256         240    16K    128  C
kalloc.type0.160             160         32K         32K        204         204         103    16K    102  C
kalloc.type1.160             160         48K         48K        307         307         298    16K    102  C
kalloc.type2.160             160       1056K       1056K       6758        6758        6668    16K    102  C
kalloc.type3.160             160        512K        512K       3276        3276        3228    16K    102  C
kalloc.type4.160             160        176K        176K       1126        1126        1109    16K    102  C
kalloc.type5.160             160         16K         16K        102         102          92    16K    102  C
kalloc.type6.160             160         16K         16K        102         102          46    16K    102  C
kalloc.type7.160             160         16K         16K        102         102           5    16K    102  C
kalloc.type8.160             160         16K         16K        102         102           7    16K    102  C
kalloc.type9.160             160         96K         96K        614         614         548    16K    102  C
kalloc.type0.192             192         64K         64K        341         341         300    16K     85  C
kalloc.type1.192             192         48K         48K        256         256         204    16K     85  C
kalloc.type2.192             192         32K         32K        170         170         165    16K     85  C
kalloc.type3.192             192         16K         16K         85          85          14    16K     85  C
kalloc.type4.192             192         32K         32K        170         170         156    16K     85  C
kalloc.type5.192             192         16K         16K         85          85          20    16K     85  C
kalloc.type6.192             192         16K         16K         85          85           2    16K     85  C
kalloc.type7.192             192         16K         16K         85          85          28    16K     85  C
kalloc.type8.192             192         48K         48K        256         256         199    16K     85  C
kalloc.type9.192             192       1264K       1264K       6741        6741        6673    16K     85  C
kalloc.type10.192            192         16K         16K         85          85           2    16K     85  C
kalloc.type11.192            192        336K        336K       1792        1792        1774    16K     85  C
kalloc.type0.224             224         16K         16K         73          73          69    16K     73  C
kalloc.type1.224             224         16K         16K         73          73          37    16K     73  C
kalloc.type2.224             224         16K         16K         73          73          39    16K     73  C
kalloc.type3.224             224        128K        144K        585         658         438    16K     73  C
kalloc.type4.224             224         16K         16K         73          73          26    16K     73  C
kalloc.type5.224             224         32K         32K        146         146         105    16K     73  C
kalloc.type6.224             224         16K         16K         73          73          59    16K     73  C
kalloc.type7.224             224         16K         16K         73          73           1    16K     73  C
kalloc.type8.224             224         16K         16K         73          73           4    16K     73  C
kalloc.type9.224             224         16K         16K         73          73          21    16K     73  C
kalloc.type10.224            224         16K         16K         73          73           1    16K     73  C
kalloc.type11.224            224         16K         16K         73          73           3    16K     73  C
kalloc.type12.224            224         32K         32K        146         146         131    16K     73  C
kalloc.type0.256             256         16K         16K         64          64           4    16K     64  C
kalloc.type1.256             256         16K         16K         64          64           7    16K     64  C
kalloc.type2.256             256         16K         16K         64          64           7    16K     64  C
kalloc.type3.256             256         16K         16K         64          64           6    16K     64  C
kalloc.type4.256             256         16K         16K         64          64           2    16K     64  C
kalloc.type5.256             256         16K         16K         64          64          37    16K     64  C
kalloc.type6.256             256         16K         16K         64          64           3    16K     64  C
kalloc.type7.256             256         48K         48K        192         192         161    16K     64  C
kalloc.type8.256             256         16K         16K         64          64           6    16K     64  C
kalloc.type9.256             256         32K         32K        128         128          89    16K     64  C
kalloc.type10.256            256         48K         48K        192         192         160    16K     64  C
kalloc.type11.256            256         16K         16K         64          64          52    16K     64  C
kalloc.type0.288             288         32K         32K        113         113          22    32K    113  C
kalloc.type1.288             288         64K         64K        227         227         146    32K    113  C
kalloc.type2.288             288         32K         32K        113         113           4    32K    113  C
kalloc.type3.288             288         32K         32K        113         113          38    32K    113  C
kalloc.type4.288             288         64K         64K        227         227         164    32K    113  C
kalloc.type5.288             288         32K         32K        113         113          11    32K    113  C
kalloc.type6.288             288         32K         32K        113         113           9    32K    113  C
kalloc.type7.288             288         32K         32K        113         113          11    32K    113  C
kalloc.type8.288             288         32K         32K        113         113           5    32K    113  C
kalloc.type9.288             288         32K         32K        113         113           2    32K    113  C
kalloc.type10.288            288         32K         32K        113         113           8    32K    113  C
kalloc.type11.288            288         32K         32K        113         113          23    32K    113  C
kalloc.type0.368             368       1632K       1632K       4541        4541        4485    32K     89  C
kalloc.type1.368             368         32K         32K         89          89           9    32K     89  C
kalloc.type2.368             368         32K         32K         89          89          11    32K     89  C
kalloc.type3.368             368        160K        224K        445         623         184    32K     89  C
kalloc.type4.368             368        896K        896K       2493        2493        2487    32K     89  C
kalloc.type5.368             368         32K         32K         89          89          15    32K     89  C
kalloc.type6.368             368         32K         32K         89          89          19    32K     89  C
kalloc.type7.368             368         32K         32K         89          89           4    32K     89  C
kalloc.type8.368             368         32K         32K         89          89          20    32K     89  C
kalloc.type9.368             368         64K         64K        178         178         107    32K     89  C
kalloc.type10.368            368         32K         32K         89          89           7    32K     89  C
kalloc.type11.368            368         32K         32K         89          89          11    32K     89  C
kalloc.type12.368            368         96K         96K        267         267          84    32K     89  C
kalloc.type13.368            368         32K         32K         89          89          21    32K     89  C
